stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,ineo_id,ineo_mnemoc,ineo_mnemol,ineo_noc,ineo_nol,ineo_nomc
1574,GUT80A,Gutenberg,44.78760900,-0.64575600,33318,,0,BGUTEN,1,1753,GUTE,GUT80A,1574,1753,Gutenberg
703,GUT80R,Gutenberg,44.78769100,-0.64597600,33318,,0,BGUTEN,1,1754,GUTE,GUT80R,703,1754,Gutenberg
9557,SCOGUYA,Guynemer,44.88353400,-0.73756700,33449,,0,BSCOGUY,0,,,,,,
9558,SCOGUYR,Guynemer,44.88351000,-0.73750200,33449,,0,BSCOGUY,0,,,,,,
9774,GER22R,Guynemer,44.92399300,-0.62426600,33056,,0,BGUMER,0,5719,GUME,GER22R,9774,5719,Guynemer
9775,GER22A,Guynemer,44.92409500,-0.62417200,33056,,0,BGUMER,0,5723,GUME,GER22A,9775,5723,Guynemer
5515,GUY95R,Guyon,44.89872100,-0.50066000,33096,,0,BGUYON2,0,1761,GUYO,GUY95R,5515,1761,Guyon
5516,GUY95A,Guyon,44.89881400,-0.50085600,33096,,0,BGUYON2,0,1762,GUYO,GUY95A,5516,1762,Guyon
676,GUY08A,Guyon,44.85111700,-0.52857900,33119,,0,BGUYON,0,1764,GUYO,GUY08A,676,1764,Guyon
987,GUY08R,Guyon,44.85117800,-0.52865900,33119,,0,BGUYON,0,1763,GUYO,GUY08R,987,1763,Guyon
2053,GGA37A,Général de Gaulle,44.90890200,-0.63868900,33056,,0,BGGAU37,1,1666,GGAU,GGA37A,2053,1666,Général de Gaulle
2929,GGA36R,Général de Gaulle,44.87474400,-0.61907000,33075,,0,BGGA36,1,1668,GGA3,GGA36R,2929,1668,Général de Gaulle
2930,GGA36A,Général de Gaulle,44.87458800,-0.61916100,33069,,0,BGGA36,1,1667,GGA3,GGA36A,2930,1667,Général de Gaulle
7681,GGA06R,Général de Gaulle,44.91008661,-0.64104849,,,0,,0,4483,GGAU,GGA06R,7681,4483,Général de Gaulle
1117,GPH66R,Gérard Philipe,44.87413200,-0.50390400,33249,,0,BGPHILL,1,1678,GPHI,GPH66R,1117,1678,Gérard Philipe
1320,GPH66A,Gérard Philipe,44.87452300,-0.50465100,33249,,0,BGPHILL,1,1677,GPHI,GPH66A,1320,1677,Gérard Philipe
15097,SBROSD,Haillan Rostand,44.85833782,-0.66801533,,,0,,0,4274,ROST,SBROSD,15097,4274,Haillan Rostand
7349,TROS48,Haillan Rostand,44.85846792,-0.66844201,,,0,,0,4260,TROS,TROS48,7349,4260,Haillan Rostand
7568,HCO07R,Halte TER Coty,44.92890000,-0.49447600,33003,,0,BHALCOT,1,4411,HALC,HCO07R,7568,4411,Halte TER Coty
7566,GOR07A,Halte TER La Gorp,44.92829500,-0.49736900,33003,,0,BHALGOR,1,4410,HALG,GOR07A,7566,4410,Halte TER La Gorp
